TrendGroupGuid,DeviceGuid
E89CEFC4-0011-4A6C-8524-49BDAC06858D,DB54AE45-EE1A-4C8E-88FF-05531D328C35
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,DB54AE45-EE1A-4C8E-88FF-05531D328C35
E89CEFC4-0011-4A6C-8524-49BDAC06858D,7AC6EBE4-F1CA-4636-8D9E-0860A204A6E8
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,7AC6EBE4-F1CA-4636-8D9E-0860A204A6E8
E89CEFC4-0011-4A6C-8524-49BDAC06858D,6F6E21A5-2BB7-4B45-B8F9-0F6497D3C6CA
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,6F6E21A5-2BB7-4B45-B8F9-0F6497D3C6CA
E89CEFC4-0011-4A6C-8524-49BDAC06858D,E2B3CB04-75AC-4368-A90F-17DF509E9833
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,E2B3CB04-75AC-4368-A90F-17DF509E9833
E89CEFC4-0011-4A6C-8524-49BDAC06858D,6A5018C0-4AAD-4376-82CF-19969369EF73
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,6A5018C0-4AAD-4376-82CF-19969369EF73
E89CEFC4-0011-4A6C-8524-49BDAC06858D,5997BCA4-DE44-4EB0-9F65-20FE866BD1AB
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,5997BCA4-DE44-4EB0-9F65-20FE866BD1AB
E89CEFC4-0011-4A6C-8524-49BDAC06858D,B6727C54-0AAB-44EE-91C3-2AEDD22AA990
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,B6727C54-0AAB-44EE-91C3-2AEDD22AA990
E89CEFC4-0011-4A6C-8524-49BDAC06858D,6390DCE0-A773-4D89-A717-2E23F2FD5F5F
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,6390DCE0-A773-4D89-A717-2E23F2FD5F5F
E89CEFC4-0011-4A6C-8524-49BDAC06858D,CD266329-27B8-4F41-B99C-30945A63F2C8
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,CD266329-27B8-4F41-B99C-30945A63F2C8
E89CEFC4-0011-4A6C-8524-49BDAC06858D,F7787773-182F-4166-8E7B-345E8ECCDF16
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,F7787773-182F-4166-8E7B-345E8ECCDF16
E89CEFC4-0011-4A6C-8524-49BDAC06858D,72D78BBB-41A8-4AD0-9FF7-346610C13481
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,72D78BBB-41A8-4AD0-9FF7-346610C13481
E89CEFC4-0011-4A6C-8524-49BDAC06858D,A3C6794D-2B0B-47A2-BC56-3BA4D8BA17A7
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,A3C6794D-2B0B-47A2-BC56-3BA4D8BA17A7
E89CEFC4-0011-4A6C-8524-49BDAC06858D,A37A56BE-FECB-48F3-BEBC-485604CC2297
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,A37A56BE-FECB-48F3-BEBC-485604CC2297
E89CEFC4-0011-4A6C-8524-49BDAC06858D,620ACC76-99AC-4680-A01D-487ED3857AB8
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,620ACC76-99AC-4680-A01D-487ED3857AB8
E89CEFC4-0011-4A6C-8524-49BDAC06858D,F7D6F301-684B-412C-ABA2-4E50FE6229BD
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,F7D6F301-684B-412C-ABA2-4E50FE6229BD
E89CEFC4-0011-4A6C-8524-49BDAC06858D,815DFCC3-7AF1-4A76-BA38-5EBB57A7E7F6
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,815DFCC3-7AF1-4A76-BA38-5EBB57A7E7F6
E89CEFC4-0011-4A6C-8524-49BDAC06858D,0420352E-F201-4550-B0D0-62751012EEDD
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,0420352E-F201-4550-B0D0-62751012EEDD
E89CEFC4-0011-4A6C-8524-49BDAC06858D,D5E8B4DC-09BA-479E-8C9C-669767B60895
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,D5E8B4DC-09BA-479E-8C9C-669767B60895
E89CEFC4-0011-4A6C-8524-49BDAC06858D,42251A5B-7029-4F7D-A440-6A784CA1323E
